"PLOT","SPCD","DIA","HT","Species"
"48800",94,6.1,31,"White Spruce"
"19766",94,5,26,"White Spruce"
"19766",94,6.3,36,"White Spruce"
"19766",94,5.6,30,"White Spruce"
"8329",94,8.5,44,"White Spruce"
"8329",94,6.1,47,"White Spruce"
"8329",94,7.7,54,"White Spruce"
"16103",94,10.5,69,"White Spruce"
"16103",94,6.5,48,"White Spruce"
"10928",94,9.6,34,"White Spruce"
"10928",94,10.8,35,"White Spruce"
"10494",95,4.5,26,"Black Spruce"
"10494",95,4.6,25,"Black Spruce"
"10494",95,4.7,26,"Black Spruce"
"54190",95,6.4,31,"Black Spruce"
"54190",95,5.5,32,"Black Spruce"
"54190",95,3.8,25,"Black Spruce"
"14331",95,3,17,"Black Spruce"
"14331",95,3.3,19,"Black Spruce"
"14331",95,3.1,17,"Black Spruce"
"554",94,4.3,25,"White Spruce"
"554",94,4,25,"White Spruce"
"554",94,4.8,28,"White Spruce"
"554",95,3.2,22,"Black Spruce"
"554",95,3.8,21,"Black Spruce"
"554",95,3.2,19,"Black Spruce"
"29959",94,8.1,45,"White Spruce"
"29959",94,7.3,57,"White Spruce"
"29959",94,6.5,43,"White Spruce"
"26246",94,6.4,30,"White Spruce"
"26246",94,7.3,36,"White Spruce"
"26246",94,7.7,50,"White Spruce"
"32210",94,6.3,27,"White Spruce"
"32210",94,8.7,40,"White Spruce"
"32210",94,8.9,31,"White Spruce"
"25832",94,3.9,23,"White Spruce"
"25832",94,3.7,22,"White Spruce"
"25832",94,4.6,26,"White Spruce"
"21187",94,7.8,58,"White Spruce"
"21187",94,6.9,48,"White Spruce"
"21187",94,6.1,41,"White Spruce"
"16476",94,7.3,44,"White Spruce"
"16476",94,8.5,43,"White Spruce"
"16476",94,6,44,"White Spruce"
"12734",94,5.2,36,"White Spruce"
"12734",94,5.8,40,"White Spruce"
"58575",95,4.3,28,"Black Spruce"
"58575",95,3.1,23,"Black Spruce"
"58575",95,3.8,29,"Black Spruce"
"56896",94,6.7,43,"White Spruce"
"46097",94,6.2,30,"White Spruce"
"46097",94,9.2,57,"White Spruce"
"46097",94,11.4,60,"White Spruce"
"10658",94,12.2,48,"White Spruce"
"10658",94,9.1,43,"White Spruce"
"10658",94,13.5,63,"White Spruce"
"6625",94,10.5,41,"White Spruce"
"6625",94,10.1,49,"White Spruce"
"6625",94,9.3,48,"White Spruce"
"13135",94,6.8,65,"White Spruce"
"50968",94,5.6,35,"White Spruce"
"50968",94,6.5,33,"White Spruce"
"50968",94,12.1,52,"White Spruce"
"62897",95,2.1,14,"Black Spruce"
"62897",95,1.7,12,"Black Spruce"
"62897",95,2,13,"Black Spruce"
"7178",95,4.4,32,"Black Spruce"
"7178",95,3.4,18,"Black Spruce"
"7178",95,3.4,23,"Black Spruce"
"32377",94,13.5,75,"White Spruce"
"32377",94,13.7,56,"White Spruce"
"63589",94,9.1,52,"White Spruce"
"54920",94,8.8,48,"White Spruce"
"54920",94,6.5,36,"White Spruce"
"54920",94,8.7,44,"White Spruce"
"58837",264,9.9,52,"Mountain Hemlock"
"12900",264,20.8,70,"Mountain Hemlock"
"12900",264,15.9,57,"Mountain Hemlock"
"12900",264,18.6,69,"Mountain Hemlock"
"58770",264,14.5,45,"Mountain Hemlock"
"58770",264,15.2,58,"Mountain Hemlock"
"58770",264,13.7,46,"Mountain Hemlock"
"29644",264,12.9,51,"Mountain Hemlock"
"29644",264,9.5,42,"Mountain Hemlock"
"29644",264,7,44,"Mountain Hemlock"
"25563",264,8.9,34,"Mountain Hemlock"
"25563",264,8.2,32,"Mountain Hemlock"
"25563",264,10.7,34,"Mountain Hemlock"
"940",264,13.8,70,"Mountain Hemlock"
"940",264,12.3,43,"Mountain Hemlock"
"940",264,11.5,60,"Mountain Hemlock"
"27458",94,14.6,63,"White Spruce"
"27458",94,10.1,49,"White Spruce"
"27458",94,12.5,67,"White Spruce"
"15817",94,7.5,42,"White Spruce"
"15817",94,6,30,"White Spruce"
"15817",94,7.9,37,"White Spruce"
"7495",94,5.3,36,"White Spruce"
"26218",95,6.1,26,"Black Spruce"
"26218",95,4.2,24,"Black Spruce"
"26218",95,3.9,23,"Black Spruce"
"36646",94,3,21,"White Spruce"
"36646",94,5.1,23,"White Spruce"
"36646",94,4.8,25,"White Spruce"
"31034",94,10.3,48,"White Spruce"
"31034",94,11.6,63,"White Spruce"
"46267",264,14.4,55,"Mountain Hemlock"
"46267",264,17.3,58,"Mountain Hemlock"
"46267",264,8.9,39,"Mountain Hemlock"
"281",264,14.8,71,"Mountain Hemlock"
"281",264,16.4,74,"Mountain Hemlock"
"281",264,18.1,86,"Mountain Hemlock"
"53854",264,6.4,18,"Mountain Hemlock"
"53854",264,6.1,21,"Mountain Hemlock"
"53854",264,7.3,23,"Mountain Hemlock"
"28991",264,12.6,43,"Mountain Hemlock"
"28991",264,11.3,50,"Mountain Hemlock"
"28991",264,18,80,"Mountain Hemlock"
