CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
720778796290487,547424072126144,,2019,2,1,122,61659,1,2,94.0,6.3,45,36,18,85,100,4,1,,1,2020-02-10 18:09:12,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,16,,,,,52,50,TSHE02
720778797290487,547424072126144,,2019,2,1,122,61659,1,3,94.0,6.1,44,52,18,64,100,4,1,,1,2020-02-10 18:09:12,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,16,,,,,43,50,TSHE02
720769233290487,547424165126144,,2019,2,1,220,5701,1,3,264.0,6.7,18,54,24,25,100,1,1,,1,2020-02-10 18:09:13,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,1,,9,,,,,17,50,TSHE01
720769231290487,547424165126144,,2019,2,1,220,5701,1,1,264.0,6.6,22,57,24,30,100,4,1,,1,2020-02-10 18:09:13,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,1,,9,,,,,20,50,TSHE01
720769232290487,547424165126144,,2019,2,1,220,5701,1,2,264.0,5.0,17,62,24,22,100,4,1,,1,2020-02-10 18:09:13,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,1,,9,,,,,15,50,TSHE01
720755403290487,547413010126144,,2019,2,1,282,22421,1,6,98.0,11.1,67,53,17,94,100,3,1,,1,2020-02-10 18:09:02,2024-09-17 13:16:07,3,5,,0,,,,,100,,N,3,,9,,,,,63,50,PISI01
720755401290487,547413010126144,,2019,2,1,282,22421,1,4,98.0,13.7,76,70,17,90,100,2,1,,1,2020-02-10 18:09:02,2024-09-17 13:16:07,3,5,,0,,,,,100,,N,1,,9,,,,,61,50,PISI01
720755402290487,547413010126144,,2019,2,1,282,22421,1,5,98.0,18.3,93,59,17,122,100,2,1,,1,2020-02-10 18:09:02,2024-09-17 13:16:07,3,5,,0,,,,,100,,N,3,,9,,,,,83,50,PISI01
720772287290487,547413204126144,,2019,2,1,261,38963,1,2,263.0,20.0,80,220,13,70,100,1,1,,1,2020-02-10 18:09:02,2024-09-17 13:16:07,3,5,,,,,,,100,,P,1,,7,,,,,52,50,TSHE02
720772289290487,547413204126144,,2019,2,1,261,38963,1,5,263.0,9.2,52,176,13,38,100,3,1,,1,2020-02-10 18:09:02,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,36,50,TSHE02
720772839290487,547413438126144,,2019,2,1,261,7772,1,1,747.0,12.6,53,56,44,49,50,1,1,,1,2020-02-10 18:09:03,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,10,,,,,,,
720772840290487,547413438126144,,2019,2,1,261,7772,1,2,747.0,13.7,53,37,44,61,50,1,1,,1,2020-02-10 18:09:03,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,10,,,,,,,
720772841290487,547413438126144,,2019,2,1,261,7772,1,3,747.0,14.1,64,42,44,70,50,2,1,,1,2020-02-10 18:09:03,2024-09-17 13:16:07,3,5,,,,,,,100,,P,3,,10,,,,,,,
1389694637290487,547410652126144,,2019,2,1,201,3022,2,2,263.0,5.5,35,22,13,86,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,52,50,TSHE02
1389694639290487,547410652126144,,2019,2,1,201,3022,4,2,263.0,5.5,35,22,13,86,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,52,50,TSHE02
1389694640290487,547410652126144,,2019,2,1,201,3022,2,3,263.0,6.2,36,28,13,76,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,47,50,TSHE02
1389694641290487,547410652126144,,2019,2,1,201,3022,3,3,263.0,6.2,36,28,13,76,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,47,50,TSHE02
1389694642290487,547410652126144,,2019,2,1,201,3022,4,3,263.0,6.2,36,28,13,76,100,1,1,,1,2021-05-19 12:12:44,2024-09-17 13:16:07,3,5,,0,,,,,100,,A,3,,9,,,,,47,50,TSHE02
